name,latitude,longitude
霊山寺,34.15968545,134.5025311
極楽寺,34.15572655,134.4904292
金泉寺,34.1473855,134.468454
大日寺（4番札所）,34.15131446,134.4308206
地蔵寺,34.13720691,134.4320185
安楽寺,34.11811066,134.3883315
十楽寺,34.12075661,134.377984
熊谷寺,34.12095497,134.3400457
法輪寺,34.10431828,134.333745
切幡寺,34.10781259,134.3041132
藤井寺,34.05172156,134.3487526
焼山寺,33.98507593,134.3104325
大日寺（13番札所）,34.0383442,134.4628116
常楽寺,34.05035815,134.4759486
国分寺（15番札所）,34.05590791,134.4736609
観音寺（16番札所）,34.06858915,134.4743407
井戸寺,34.08541584,134.4853918
恩山寺,33.98618029,134.578284
立江寺,33.96795973,134.6060923
鶴林寺,33.91428493,134.5052536
太龍寺,33.88274055,134.5218108
平等寺,33.8521703,134.582774
薬王寺,33.73232746,134.5274794
最御崎寺,33.2492906,134.1759063
津照寺,33.28845621,134.1481922
金剛頂寺,33.30750807,134.1239054
神峯寺,33.46784867,133.9747846
大日寺（28番札所）,33.57803681,133.7051072
国分寺（29番札所）,33.59878015,133.6404848
全楽寺,33.59209739,133.5777323
竹林寺,33.54658398,133.5765686
禅師峯寺,33.52697519,133.6115592
雪蹊寺,33.50097386,133.5431221
種間寺,33.49190158,133.4877731
清滝寺,33.51259614,133.4095276
青龍寺,33.42616231,133.4521475
岩本寺,33.20816878,133.1346447
金剛福寺,32.72576399,133.0187672
延光寺,32.96149421,132.7741257
観自在寺,32.96425092,132.5639356
龍光寺,33.29533116,132.5985891
仏木寺,33.31084536,132.5814397
明石寺,33.3693943,132.5195275
大寶寺,33.66128408,132.9114147
岩屋寺,33.65879994,132.9806743
浄瑠璃寺,33.75817065,132.812887
八坂寺,33.75817065,132.812887
西林寺,33.79388185,132.8140249
浄土寺,33.81694285,132.8078278
繁多寺,33.82824672,132.8044397
石手寺,33.84796716,132.7964527
太山寺,33.88518457,132.7150768
円明寺,33.89188549,132.7396904
延命寺,34.06704048,132.9638715
南光坊,34.06841772,132.9953564
泰山寺,34.05069965,132.9749916
栄福寺,34.02984613,132.9782765
仙遊寺,34.01361264,132.9774136
国分寺（59番札所）,34.02621287,133.0255925
横峰寺,33.83788256,133.1109431
香園寺,33.89361108,133.1030535
宝寿寺,33.89736265,133.1150206
吉祥寺,33.89621493,133.1290673
前神寺,33.89201307,133.1602975
三角寺,33.96769875,133.5866918
雲辺寺,34.10212419,34.10212419
大興寺,34.10212419,133.7191638
神恵寺,34.13414644,133.6473227
観音寺,34.13459614,133.6476004
本山寺,34.13977195,133.6940078
弥谷寺,34.22986607,133.7243306
曼荼羅寺,34.22347362,133.7501853
釈迦寺,34.21964951,133.750085
甲山寺,34.23336108,133.7658403
善通寺,34.22652763,133.7761469
金倉寺,34.2504488,133.7810758
道隆寺,34.27645755,133.7629758
郷照寺,34.30689514,133.8245858
天皇寺,34.31112485,133.8828891
国分寺（79番札所）,34.30331184,133.9441271
白峯寺,34.33358259,133.9267306
根香寺,34.34458852,133.9604885
一宮寺,34.28645207,134.0262807
屋島寺,34.35814268,134.1013118
八栗寺,34.36008329,134.1398311
志度寺,34.32436296,134.1794445
長尾寺,34.2667231,134.1717401
大窪寺,34.19145807,134.2069372
